timestamp,price,type,direction,tag
2024-04-01 00:04:00+02:00,2376.6,VALLE,down,minor
2024-04-01 06:04:00+02:00,2407.5,PICO,up,minor
2024-04-01 14:12:00+02:00,2385.2,VALLE,down,minor
2024-04-01 15:24:00+02:00,2400.1,PICO,up,minor
2024-04-01 16:42:00+02:00,2370.2,VALLE,down,minor
2024-04-02 11:32:00+02:00,2408.6,PICO,up,minor
2024-04-02 14:37:00+02:00,2394.7,VALLE,down,minor
2024-04-02 16:30:00+02:00,2419.0,PICO,up,minor
2024-04-02 17:35:00+02:00,2392.2,VALLE,down,minor
2024-04-03 00:24:00+02:00,2429.9,PICO,up,minor
2024-04-03 14:27:00+02:00,2406.8,VALLE,down,minor
2024-04-04 03:01:00+02:00,2445.9,PICO,up,minor
2024-04-04 14:42:00+02:00,2422.9,VALLE,down,minor
2024-04-04 16:35:00+02:00,2440.0,PICO,up,minor
2024-04-04 19:00:00+02:00,2426.7,VALLE,down,minor
2024-04-04 20:57:00+02:00,2446.4,PICO,up,minor
2024-04-04 21:51:00+02:00,2419.8,VALLE,down,minor
2024-04-05 00:24:00+02:00,2433.4,PICO,up,minor
2024-04-05 03:32:00+02:00,2407.3,VALLE,down,minor
2024-04-05 14:30:00+02:00,2436.8,PICO,up,minor
2024-04-05 14:34:00+02:00,2420.7,VALLE,down,minor
2024-04-05 19:12:00+02:00,2471.1,PICO,up,minor
2024-04-08 03:02:00+02:00,2442.8,VALLE,down,minor
2024-04-08 04:40:00+02:00,2493.6,PICO,up,minor
2024-04-08 14:28:00+02:00,2462.4,VALLE,down,minor
2024-04-08 15:35:00+02:00,2475.9,PICO,up,minor
2024-04-08 16:06:00+02:00,2457.9,VALLE,down,minor
2024-04-09 11:28:00+02:00,2505.6,PICO,up,minor
2024-04-09 14:38:00+02:00,2485.2,VALLE,down,minor
2024-04-09 16:34:00+02:00,2504.2,PICO,up,minor
2024-04-09 17:57:00+02:00,2478.1,VALLE,down,minor
2024-04-10 07:35:00+02:00,2499.2,PICO,up,minor
2024-04-10 14:31:00+02:00,2472.4,VALLE,down,minor
2024-04-10 14:31:00+02:00,2489.7,PICO,up,minor
2024-04-10 14:34:00+02:00,2467.2,VALLE,down,minor
2024-04-10 14:50:00+02:00,2485.9,PICO,up,minor
2024-04-10 15:32:00+02:00,2458.2,VALLE,down,minor
2024-04-10 16:25:00+02:00,2492.1,PICO,up,minor
