entry_hour;duration_label;total_trades;total_pnl_usd;avg_pnl_usd;win_rate;avg_win;avg_loss;avg_mae;avg_mfe;sharpe_ratio
0;120min (2h);52;4060,0;-208,81;66,67;540,04;-743,96;-1147,74;887,61;-1,43
0;15min;52;1095,0;-74,24;67,7;189,58;-310,52;-449,96;381,49;-0,09
0;180min (3h);52;19410,0;84,78;48,33;645,85;-566,61;-1271,49;1035,68;-4,38
0;1min;52;1090,0;2,59;47,69;86,01;-90,29;-147,42;122,27;0,11
0;240min (4h);52;26040,0;145,9;43,06;761,88;-597,67;-1322,61;1175,06;-0,74
0;300min (5h);52;-3255,0;-332,25;29,96;365,21;-661,46;-1615,76;1203,74;-6,48
0;360min (6h);52;25,0;-375,47;38,89;483,39;-828,72;-1663,88;1254,85;-4,82
0;480min (8h);52;7565,0;-377,9;37,5;682,39;-1060,3;-1813,95;1580,34;-4,35
0;5min;52;2070,0;-19,61;47,86;177,52;-172,46;-240,97;232,25;0,14
0;60min (1h);52;15140,0;123,82;62,22;446,38;-320,99;-717,67;764,43;-1,56
0;EOD;52;-224785,0;-2747,86;50,0;1849,03;-4596,89;-7309,73;5201,52;-24,74
1;120min (2h);321;53780,0;-116,25;46,81;452,92;-504,46;-977,88;845,47;0,09
1;15min;321;9435,0;-107,98;31,42;209,76;-299,5;-397,34;306,58;-0,69
1;180min (3h);321;37960,0;-73,91;46,68;462,58;-524,38;-1098,39;1018,05;0,51
1;1min;321;2095,0;-10,75;40,45;84,64;-87,63;-157,94;118,26;-0,05
1;240min (4h);321;38495,0;73,89;50,34;663,34;-543,97;-1255,66;1265,67;1,79
1;300min (5h);321;57145,0;202,66;47,94;645,64;-448,06;-1387,61;1390,3;2,06
1;360min (6h);321;77880,0;314,85;51,62;839,92;-513,62;-1467,88;1674,6;3,6
1;480min (8h);321;79935,0;575,33;53,45;1126,29;-522,26;-1599,28;2075,9;-3,3
1;5min;321;6750,0;-58,45;34,82;156,41;-198,45;-264,96;203,79;-0,41
1;60min (1h);321;79765,0;-77,36;39,91;386,43;-483,75;-795,62;672,97;0,79
1;EOD;321;-1010615,0;-1757,48;37,82;2037,78;-3476,84;-6016,0;4711,69;-3,27
2;120min (2h);297;-236595,0;-489,71;34,78;279,19;-847,58;-1167,27;661,52;-0,95
2;15min;297;-7320,0;-111,27;30,09;236,43;-326,52;-494,17;322,94;-0,35
2;180min (3h);297;-411230,0;-844,95;35,59;291,96;-1205,77;-1614,67;749,77;-0,82
2;1min;297;80,0;-34,32;37,12;119,96;-130,3;-225,38;128,93;-0,07
2;240min (4h);297;-496090,0;-1053,99;35,54;235,59;-1373,84;-1928,09;780,68;-1,75
2;300min (5h);297;-575140,0;-1239,4;35,74;289,68;-1619,62;-2155,98;827,63;-1,78
2;360min (6h);297;-593410,0;-1286,58;30,32;375,58;-1736,62;-2421,65;868,07;-1,23
2;480min (8h);297;-682455,0;-1709,2;25,37;458,94;-2327,18;-3053,9;1039,52;-4,85
2;5min;297;-4860,0;-91,87;30,79;163,93;-243,23;-352,77;217,07;-0,44
2;60min (1h);297;-26395,0;-120,24;45,41;358,75;-564,78;-774,34;530,21;-0,38
2;EOD;297;-1044690,0;-1854,46;57,3;2256,42;-4550,32;-7036,6;4162,39;3,31
3;120min (2h);200;-7050,0;60,72;56,5;553,86;-722,9;-975,4;1002,34;0,0
3;15min;200;26390,0;-43,83;38,25;201,02;-291,94;-370,84;281,61;-0,39
3;180min (3h);200;-40595,0;128,44;54,3;750,43;-874,02;-1144,96;1314,66;1,16
3;1min;200;1370,0;-34,37;35,64;78,61;-103,84;-167,47;100,36;-0,11
3;240min (4h);200;39320,0;560,27;50,9;1241,36;-960,42;-1273,34;1714,83;3,99
3;300min (5h);200;58115,0;671,89;60,47;1389,45;-936,46;-1410,32;1983,29;2,55
3;360min (6h);200;37115,0;744,94;62,31;1570,43;-1089,47;-1499,21;2237,24;3,57
3;480min (8h);200;93120,0;1107,69;77,5;1848,71;-848,84;-1614,17;2795,59;18,64
3;5min;200;2075,0;-73,26;32,99;143,31;-192,47;-269,31;179,36;-0,29
3;60min (1h);200;47725,0;87,52;53,18;442,01;-509,66;-606,31;572,6;0,39
3;EOD;200;356570,0;1139,01;55,83;2840,17;-2284,68;-4264,65;5722,94;-4,34
4;120min (2h);221;144730,0;261,71;52,93;629,64;-451,39;-860,47;1234,07;0,02
4;15min;221;18960,0;-89,66;41,21;173,35;-289,73;-421,75;288,51;-0,96
4;180min (3h);221;201865,0;673,42;65,83;1062,05;-418,7;-943,46;1627,7;1,81
4;1min;221;-760,0;-31,03;41,78;100,09;-120,63;-168,5;110,05;-0,21
4;240min (4h);221;124340,0;496,46;53,16;1065,65;-626,86;-1095,54;1810,78;1,91
4;300min (5h);221;106270,0;658,04;48,65;1415,8;-671,61;-1323,27;2116,97;0,95
4;360min (6h);221;32075,0;333,92;43,68;1429,17;-989,77;-1596,07;2302,6;0,08
4;480min (8h);221;-54495,0;548,1;49,63;2056,11;-1290,38;-2152,35;2854,75;3,67
4;5min;221;1640,0;-85,62;33,74;98,46;-199,57;-264,75;179,04;-0,68
4;60min (1h);221;63020,0;-70,89;34,43;358,4;-474,12;-784,82;661,23;-0,16
4;EOD;221;-155065,0;-2634,63;42,67;3764,76;-4730,91;-6717,31;5585,97;-14,12
5;120min (2h);217;28460,0;-64,76;39,74;567,78;-788,83;-1033,76;1158,37;2,93
5;15min;217;12835,0;-53,96;41,27;369,07;-427,51;-530,44;456,57;0,99
5;180min (3h);217;139090,0;444,62;58,89;1170,43;-714,72;-1154,64;1518,79;2,45
5;1min;217;80,0;-30,39;30,81;88,08;-119,51;-196,93;131,54;-0,24
5;240min (4h);217;100245,0;605,52;56,37;1347,09;-820,22;-1226,95;1988,42;2,84
5;300min (5h);217;84430,0;640,48;53,68;1566,52;-837,17;-1393,8;2188,76;4,15
5;360min (6h);217;114830,0;517,92;49,44;1613,99;-939,14;-1574,94;2404,21;2,75
5;480min (8h);217;169855,0;639,81;55,93;1788,41;-1011,64;-1868,84;2895,79;-0,83
5;5min;217;2770,0;-66,46;29,57;227,2;-279,47;-328,44;264,95;-0,21
5;60min (1h);217;-4645,0;-16,29;48,68;501,12;-622,75;-781,19;806,17;1,53
5;EOD;217;-141070,0;-2088,64;30,24;1765,32;-3440,03;-5751,67;4663,23;-76,99
6;120min (2h);312;-51535,0;-111,14;50,65;599,45;-663,12;-1156,1;969,96;0,04
6;15min;312;-14130,0;-48,04;40,59;340,44;-287,0;-436,54;417,89;0,04
6;180min (3h);312;-12170,0;102,58;52,52;794,09;-710,58;-1316,0;1228,01;0,57
6;1min;312;2200,0;-4,67;48,3;111,84;-119,09;-178,29;142,09;0,06
6;240min (4h);312;79315,0;349,91;62,64;1115,2;-942,82;-1378,8;1538,55;2,16
6;300min (5h);312;-82635,0;50,7;56,21;1250,46;-1371,88;-1652,43;1868,95;0,96
6;360min (6h);312;-39800,0;35,16;55,0;1419,0;-1417,4;-2006,55;1955,35;1,09
6;480min (8h);312;-251520,0;-513,94;54,06;1536,35;-1980,33;-2683,07;2257,98;-0,79
6;5min;312;5720,0;5,98;46,79;241,04;-212,68;-269,8;264,86;0,08
6;60min (1h);312;-60920,0;-64,46;49,72;418,15;-495,14;-786,35;755,94;-0,2
6;EOD;312;-178960,0;-362,14;55,51;2439,64;-2746,39;-5667,1;4104,48;0,23
7;120min (2h);251;109890,0;196,83;56,13;612,75;-487,12;-1151,12;1018,21;-2,13
7;15min;251;-10515,0;-186,09;27,16;186,67;-356,6;-516,84;282,37;-2,06
7;180min (3h);251;104400,0;7,59;54,09;703,68;-760,2;-1385,67;1284,77;4,57
