duration_label;total_trades;total_pnl_usd;avg_pnl_usd;win_rate;avg_win;avg_loss;max_win;max_loss;avg_mae;avg_mfe;max_mae;max_mfe;sharpe_ratio;rr_ratio;rr_ratio_formatted
180min (3h);15156;1965940,0;127,11;53,11;1636,55;-1846,5;19035,0;-19570,0;-1690,45;1737,57;-19985,0;19275,0;0,01;0,9;1:0.9
120min (2h);15156;1549060,0;56,53;50,9;1386,68;-1507,84;17120,0;-19205,0;-1435,54;1484,85;-19985,0;18095,0;-0,02;0,9;1:0.9
240min (4h);15156;1381795,0;146,14;53,46;1859,74;-2115,48;19330,0;-20850,0;-1874,12;1950,32;-22055,0;20165,0;0,02;0,9;1:0.9
60min (1h);15156;1091995,0;67,66;51,67;1046,63;-1001,95;12235,0;-11105,0;-1073,31;1114,31;-11760,0;13015,0;0,03;1,0;1:1.0
360min (6h);15156;759050,0;127,34;50,89;2093,29;-2469,09;22415,0;-23965,0;-2150,51;2267,16;-24555,0;22665,0;-0,04;0,8;1:0.8
300min (5h);15156;605355,0;107,26;51,72;1958,89;-2265,93;21285,0;-22790,0;-2015,62;2102,64;-23085,0;22305,0;-0,02;0,9;1:0.9
480min (8h);15156;587600,0;116,54;49,88;2205,77;-2756,93;22790,0;-24680,0;-2315,11;2448,96;-24690,0;23180,0;-0,08;0,8;1:0.8
15min;15156;510400,0;-7,07;47,19;551,04;-529,31;6135,0;-5380,0;-614,44;583,21;-5580,0;6305,0;-0,04;1,0;1:1.0
5min;15156;149415,0;-8,9;47,45;336,35;-326,11;4845,0;-3435,0;-395,84;363,77;-4030,0;5165,0;-0,04;1,0;1:1.0
1min;15156;12685,0;-4,04;48,2;155,2;-153,69;2115,0;-2720,0;-245,75;200,99;-3495,0;2610,0;-0,03;1,0;1:1.0
EOD;15156;-626235,0;93,73;50,42;2449,07;-3226,38;22790,0;-24680,0;-2683,46;2756,86;-24690,0;23180,0;-0,09;0,8;1:0.8
