tp;sl;rr_ratio;days_traded;total_trades;profit_trades;stop_trades;win_rate;total_pnl;total_pnl_usd;avg_pnl_usd;max_drawdown;sharpe_ratio;sortino_ratio;ulcer_index;profit_factor;avg_trades_per_day
75,0;100,0;0,75;57;573;315;201;61,04651162790697;2962,5;59250,0;103,40314136125654;-21335,0;1,0001890933968887;3,4910085104513136;52,9980382345328;1,1753731343283582;10,052631578947368
150,0;100,0;1,5;57;326;111;158;41,2639405204461;2202,75;44055,0;135,13803680981596;-25940,0;0,9390798876950368;4,769269845609999;52,89162016118264;1,0537974683544304;5,719298245614035
50,0;75,0;0,6666666666666666;57;1019;607;356;63,03219106957425;3255,5;65110,0;63,895976447497546;-29430,0;0,8591233730614507;3,2245936318981197;34,06254602158507;1,1367041198501873;17,87719298245614
125,0;100,0;1,25;57;387;153;177;46,36363636363636;2162,5;43250,0;111,75710594315245;-25150,0;0,8418704490902488;3,951328663189068;24,401093237808055;1,0805084745762712;6,7894736842105265
150,0;35,0;4,285714285714286;57;732;134;544;19,76401179941003;2716,75;54335,0;74,22814207650273;-28130,0;0,816918908555467;18,512831404247862;23,583747422677156;1,055672268907563;12,842105263157896
125,0;35,0;3,5714285714285716;57;880;188;636;22,815533980582526;2736,5;54730,0;62,19318181818182;-27990,0;0,7489816828973174;14,986130554054796;25,284240188426438;1,05570530098832;15,43859649122807
125,0;15,0;8,333333333333334;57;1666;188;1437;11,569230769230769;3293,75;65875,0;39,54081632653061;-25970,0;0,6999095943614974;32,433895857709814;18,949491527888842;1,090234284388773;29,228070175438596
125,0;75,0;1,6666666666666667;57;493;168;268;38,53211009174312;1912,75;38255,0;77,59634888438134;-32695,0;0,6648461533443946;4,637277743873836;26,86602396409514;1,044776119402985;8,649122807017545
75,0;50,0;1,5;57;975;384;537;41,69381107491857;2271,75;45435,0;46,6;-27450,0;0,6140196021249275;5,510965439753447;28,351829940793095;1,0726256983240223;17,105263157894736
150,0;75,0;2,0;57;419;122;242;33,51648351648351;1519,5;30390,0;72,52983293556086;-21685,0;0,5710156301540951;5,328689000083045;30,12808215930587;1,0082644628099173;7,350877192982456
50,0;100,0;0,5;57;839;541;241;69,18158567774935;2015,75;40315,0;48,05125148986889;-25270,0;0,5655752541453438;1,4833742749654928;41,668767188487436;1,1224066390041494;14,719298245614034
150,0;15,0;10,0;57;1407;128;1237;9,377289377289378;2341,5;46830,0;33,28358208955224;-28315,0;0,5464071647801975;27,35091553607489;19,636097304771475;1,0347615198059823;24,68421052631579
125,0;50,0;2,5;57;697;185;456;28,861154446177846;1805,25;36105,0;51,80057388809182;-30020,0;0,5326366797890847;6,896363659537594;33,90148183827504;1,0142543859649122;12,228070175438596
150,0;25,0;6,0;57;964;130;783;14,238773274917854;1925,25;38505,0;39,94294605809129;-36585,0;0,5211625303341483;16,88894177787223;33,211238407740524;0,9961685823754789;16,912280701754387
150,0;50,0;3,0;57;565;125;384;24,557956777996072;1453,25;29065,0;51,442477876106196;-32815,0;0,4882237960882638;6,640184750755338;31,611119897005466;0,9765625;9,912280701754385
200,0;15,0;13,333333333333334;57;1107;70;991;6,597549481621112;1784,25;35685,0;32,235772357723576;-31790,0;0,4706287109790874;29,819809444610886;30,52645798685741;0,9418096199125463;19,42105263157895
75,0;75,0;1,0;57;741;354;332;51,60349854227405;1558,5;31170,0;42,064777327935225;-39720,0;0,45989392447007543;2,4511433199797557;36,255918431887046;1,0662650602409638;13,0
100,0;100,0;1,0;57;456;206;193;51,62907268170426;1215,75;24315,0;53,32236842105263;-28475,0;0,4490192676354107;1,7175965408342795;43,45349206864292;1,067357512953368;8,0
25,0;75,0;0,3333333333333333;57;1855;1381;422;76,59456461453134;1910,5;38210,0;20,598382749326145;-34140,0;0,3889540818612275;1,069447097463588;30,15998203248621;1,0908372827804107;32,54385964912281
25,0;100,0;0,25;57;1531;1206;271;81,65199729180772;1621,25;32425,0;21,178967994774656;-36865,0;0,3497806345172232;0,7033076892311032;40,18897989167145;1,1125461254612545;26,859649122807017
